,Company Name,Reviews,Rating,Salaries,Interviews,Jobs,Benifits
331,G4S,2.6k,4.0,5.1k,128,671,236
332,Voltas,2.6k,4.0,8.6k,174,15,257
333,Sonalika Tractors,2.6k,3.6,9k,171,3,173
334,Exl India,2.6k,3.6,15.6k,130,2,163
335,Blue Star,2.6k,4.1,9.7k,197,33,237
336,Ajanta Pharma,2.6k,3.9,8.9k,165,12,214
337,BlackBuck,2.6k,3.7,6.5k,213,17,245
338,Care Health Insurance,2.6k,3.6,8.5k,161,54,166
339,Domino's Pizza,2.6k,3.9,4.2k,125,--,392
340,Movate,2.6k,3.1,14.9k,292,72,2
341,Gallagher,2.6k,3.7,14k,270,142,120
342,Fortis Healthcare,2.6k,4.0,7.6k,191,783,139
343,NoBroker,2.6k,3.0,10.7k,281,333,352
344,Adani Power,2.6k,3.7,9.7k,311,--,162
345,Himalaya Wellness,2.5k,4.0,6k,147,35,255
346,DBS Bank,2.5k,3.7,12.9k,194,284,192
347,ACT Fibernet,2.5k,3.9,7.7k,159,149,255
348,Foxconn,2.5k,3.9,10.6k,228,16,170
349,Physicswallah,2.5k,3.6,8.2k,271,217,20
350,Sahrudaya Healthcare (Medicover Hospitals),2.5k,4.4,3.4k,145,21,36
351,Foundever,2.5k,3.4,8.7k,180,91,199
352,Tata Advanced Systems,2.5k,3.7,12.7k,186,--,132
353,Sterlite Technologies,2.5k,3.8,10k,182,116,208
354,BT Group,2.5k,3.8,11.5k,226,2,264
355,Bajaj Electricals,2.5k,3.9,7.5k,151,24,289
356,Photon Interactive,2.5k,4.1,7.4k,133,907,123
357,V-Mart,2.5k,4.1,4.6k,192,20,210
358,Alldigi Tech,2.5k,3.9,7.6k,233,18,112
359,IntouchCX,2.5k,2.7,10k,240,247,146
360,IntouchCX,2.5k,2.7,10k,240,247,146
361,Tractors and Farm Equipment,2.5k,3.9,8.4k,136,15,275
362,Northern Trust Operating Services,2.5k,3.6,17.2k,242,40,225
363,Laurus Labs,2.5k,4.3,7.3k,154,6,206
364,JCB,2.5k,3.9,9.5k,168,--,233
365,Parle Agro,2.5k,3.9,6.7k,145,2,212
366,Planet Spark,2.4k,3.9,3.4k,592,70,191
367,McDonald's,2.4k,3.8,4.9k,155,1,410
368,Patanjali Ayurved,2.4k,3.9,5.9k,137,--,248
369,Canara HSBC Life Insurance,2.4k,3.6,6.3k,135,4,168
